"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"07/15/2009","AQS","510030001","1","15","ug/m3 LC","57","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"07/18/2009","AQS","510030001","1","7.5","ug/m3 LC","31","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"07/21/2009","AQS","510030001","1","13.2","ug/m3 LC","53","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"07/24/2009","AQS","510030001","1","10","ug/m3 LC","42","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"07/27/2009","AQS","510030001","1","10","ug/m3 LC","42","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"07/30/2009","AQS","510030001","1","8.1","ug/m3 LC","34","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"08/02/2009","AQS","510030001","1","6.1","ug/m3 LC","25","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"08/05/2009","AQS","510030001","1","6.2","ug/m3 LC","26","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"08/08/2009","AQS","510030001","1","21.4","ug/m3 LC","71","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
"08/11/2009","AQS","510030001","1","10.9","ug/m3 LC","45","Albemarle High School","1","100.0000","88101","PM2.5 - Local Conditions","16820","Charlottesville, VA","51","Virginia","003","Albemarle","38.0765700009162","-78.50397"
